Country,ConvertedCompYearly,RemoteWork,YearsCodePro,Employment,LanguageHaveWorkedWith,AISelect,SalaryCategory,ExperienceLevel
Brazil,11189.0,In-person,8,"Employed, full-time",C#;HTML/CSS;SQL,"No, but I plan to soon",Low,Senior
Mexico,43127.0,Remote,10,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Yes,Medium,Senior
Brazil,33568.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;PowerShell;SQL,Yes,Medium,Senior
Brazil,8951.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL,Yes,Low,Semi Senior
Argentina,5543.0,"Hybrid (some remote, some in-person)",37,"Employed, full-time",C#;JavaScript;PowerShell,"No, but I plan to soon",Low,Senior
Brazil,26854.0,Remote,8,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",C#,"No, but I plan to soon",Medium,Senior
Brazil,16112.0,Remote,9,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;JavaScript;SQL,"No, and I don't plan to",Low,Senior
Brazil,36365.0,Remote,10,"Employed, full-time",PHP;TypeScript,"No, and I don't plan to",Medium,Senior
Brazil,15974.0,Remote,12,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;SQL,"No, but I plan to soon",Low,Senior
Brazil,65271.0,"Hybrid (some remote, some in-person)",9,"Employed, full-time",Bash/Shell (all shells);Clojure;HTML/CSS;JavaScript;Ruby,Yes,High,Senior
Brazil,5576.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;Swift,Yes,Low,Senior
Argentina,110000.0,Remote,19,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,High,Senior
Argentina,50000.0,Remote,35,"Employed, full-time",Bash/Shell (all shells);Python;SQL,Yes,Medium,Senior
Mexico,59300.0,Remote,4,"Employed, full-time",Go;HTML/CSS;JavaScript;Lua;Ruby;Rust;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,29092.0,Remote,9,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Medium,Senior
Argentina,13302.0,"Hybrid (some remote, some in-person)",2,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,Yes,Low,Junior
Brazil,13054.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,Yes,Low,Senior
Brazil,29092.0,Remote,19,"Employed, full-time",Bash/Shell (all shells);C;C#;C++;GDScript;Go;Lua;Python,"No, and I don't plan to",Medium,Senior
Mexico,45284.0,Remote,18,"Employed, full-time",Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;Python;SQL,Yes,Medium,Senior
Colombia,9589.0,In-person,3,"Employed, full-time",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,24616.0,In-person,16,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Visual Basic (.Net),Yes,Medium,Senior
Mexico,75473.0,Remote,8,"Employed, full-time",JavaScript;SQL;Swift;TypeScript,Yes,High,Senior
Chile,31195.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",C#;HTML/CSS;JavaScript;Python;SQL,Yes,Medium,Senior
Peru,39609.0,Remote,10,"Employed, full-time",C#;Java;JavaScript;TypeScript,Yes,Medium,Senior
Uruguay,4009.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time;Independent contractor, freelancer, or self-employed",C++;Dart;Objective-C;SQL;Swift,"No, but I plan to soon",Low,Semi Senior
Brazil,4010.0,In-person,Less than 1 year,"Employed, full-time",HTML/CSS;JavaScript;PHP,Yes,Low,Unknown
Peru,31687.0,Remote,4,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;Ruby,Yes,Medium,Semi Senior
Mexico,43127.0,Remote,5,"Employed, full-time",JavaScript;TypeScript,"No, but I plan to soon",Medium,Semi Senior
Argentina,126000.0,Remote,12,"Independent contractor, freelancer, or self-employed",Swift,Yes,High,Senior
Brazil,14360.0,Remote,4,"Employed, full-time;Student, part-time",Java;JavaScript;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,27973.0,Remote,4,"Employed, full-time",Bash/Shell (all shells);Python;SQL,"No, and I don't plan to",Medium,Semi Senior
Brazil,83919.0,"Hybrid (some remote, some in-person)",33,"Employed, full-time",C;Lisp;Prolog;Python,"No, and I don't plan to",High,Senior
Peru,26406.0,Remote,6,"Independent contractor, freelancer, or self-employed",SQL,Yes,Medium,Semi Senior
Brazil,44757.0,"Hybrid (some remote, some in-person)",9,"Employed, full-time",Bash/Shell (all shells);Python,Yes,Medium,Senior
Uruguay,68400.0,Remote,5,"Employed, full-time",Bash/Shell (all shells);Python;TypeScript,Yes,High,Semi Senior
Brazil,199703.0,Remote,10,"Employed, full-time;Student, part-time",HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,High,Senior
Colombia,54504.0,Remote,6,"Employed, full-time",Scala;TypeScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,78325.0,"Hybrid (some remote, some in-person)",17,"Employed, full-time",Bash/Shell (all shells);Go;JavaScript;PHP;Python;Ruby;TypeScript,Yes,High,Senior
Colombia,70000.0,Remote,10,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go;JavaScript;Python;Rust;TypeScript,Yes,High,Senior
Brazil,90000.0,Remote,12,"Independent contractor, freelancer, or self-employed",C#;JavaScript;SQL,Yes,High,Senior
Uruguay,96000.0,Remote,11,"Employed, full-time",Java;Python;Scala,Yes,High,Senior
Brazil,11189.0,Remote,15,"Employed, full-time",Bash/Shell (all shells);C;Dart;Java;JavaScript;Lua;MATLAB;PHP;Python;R;SQL;TypeScript,Yes,Low,Senior
Brazil,29092.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",Assembly;Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,6490.0,"Hybrid (some remote, some in-person)",Less than 1 year,"Employed, part-time",Bash/Shell (all shells);Dart;GDScript;Go;JavaScript;Lua;Python;Rust;TypeScript,"No, and I don't plan to",Low,Unknown
Brazil,27078.0,Remote,7,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Python;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,20607.0,Remote,3,"Employed, full-time;Student, part-time",JavaScript;Ruby;TypeScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,13427.0,Remote,3,"Employed, full-time",Kotlin;Python;SQL,"No, and I don't plan to",Low,Semi Senior
Mexico,70082.0,"Hybrid (some remote, some in-person)",11,"Employed, full-time",HTML/CSS;Java;JavaScript;TypeScript,Yes,High,Senior
Mexico,102427.0,Remote,19,"Employed, full-time",C#;JavaScript;SQL,"No, but I plan to soon",High,Senior
Brazil,84000.0,Remote,8,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Go;Java;JavaScript;Python,Yes,High,Senior
Argentina,19953.0,Remote,4,"Employed, full-time",C;Go;Groovy;HTML/CSS;Java;JavaScript;Python,Yes,Low,Semi Senior
Chile,97484.0,Remote,13,"Employed, full-time",C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,High,Senior
Brazil,24616.0,Remote,16,"Employed, full-time",HTML/CSS;JavaScript;PHP,"No, and I don't plan to",Medium,Senior
Brazil,13054.0,In-person,5,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Crystal;HTML/CSS;JavaScript;Python;SQL,"No, and I don't plan to",Low,Semi Senior
Brazil,11189.0,In-person,3,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL,Yes,Low,Semi Senior
Brazil,55946.0,Remote,30,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Yes,Medium,Senior
Chile,38994.0,In-person,4,"Employed, full-time",Python,"No, and I don't plan to",Medium,Semi Senior
Brazil,65303.0,Remote,5,"Employed, full-time",Elixir;HTML/CSS;JavaScript;Ruby;TypeScript,Yes,High,Semi Senior
Brazil,30211.0,Remote,6,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,4028.0,In-person,Less than 1 year,"Employed, full-time;Student, full-time",HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Yes,Low,Unknown
Mexico,57143.0,In-person,35,"Employed, full-time",Dart;Delphi;Elixir;HTML/CSS,Yes,Medium,Senior
Argentina,72000.0,"Hybrid (some remote, some in-person)",24,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript,Yes,High,Senior
Brazil,186487.0,Remote,18,"Employed, full-time",HTML/CSS;JavaScript;Python;SQL,Yes,High,Senior
Brazil,33568.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;VBA,Yes,Medium,Semi Senior
Brazil,17343.0,"Hybrid (some remote, some in-person)",17,"Employed, full-time",Bash/Shell (all shells);C++;Groovy;Java;JavaScript;Rust;SQL,Yes,Low,Senior
Argentina,55000.0,Remote,5,"Employed, full-time",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,44757.0,"Hybrid (some remote, some in-person)",25,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby,Yes,Medium,Senior
Brazil,20514.0,Remote,4,"Employed, full-time",Go;Java;Python,Yes,Medium,Semi Senior
Brazil,55946.0,Remote,8,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,41027.0,Remote,8,"Employed, full-time",Bash/Shell (all shells);C#;Java;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Yes,Medium,Senior
Mexico,42049.0,"Hybrid (some remote, some in-person)",9,"Employed, full-time;Independent contractor, freelancer, or self-employed",Python;VBA,Yes,Medium,Senior
Brazil,16784.0,Remote,3,"Employed, full-time",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,25250.0,Remote,3,"Employed, full-time",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL,Yes,Medium,Semi Senior
Brazil,6714.0,"Hybrid (some remote, some in-person)",1,"Student, part-time;Employed, part-time",Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,"No, and I don't plan to",Low,Junior
Brazil,5051.0,In-person,1,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",HTML/CSS;JavaScript;TypeScript,Yes,Low,Junior
Brazil,6937.0,Remote,1,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,Low,Junior
Argentina,3326.0,"Hybrid (some remote, some in-person)",22,"Employed, full-time",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MicroPython;Python;SQL;TypeScript;VBA,Yes,Low,Senior
Brazil,27973.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Yes,Medium,Senior
Colombia,6510.0,Remote,6,"Employed, full-time",HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,56000.0,Remote,5,"Employed, full-time",C;Dart;Elixir;JavaScript;Python;SQL,Yes,Medium,Semi Senior
Argentina,24746.0,In-person,18,"Independent contractor, freelancer, or self-employed",,Yes,Medium,Senior
Argentina,6800.0,Remote,16,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Senior
Brazil,8951.0,In-person,3,"Employed, full-time",C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;TypeScript;Visual Basic (.Net),Yes,Low,Semi Senior
Colombia,6561.0,In-person,Less than 1 year,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;PHP;Python;SQL,Yes,Low,Unknown
Uruguay,40000.0,"Hybrid (some remote, some in-person)",7,"Employed, full-time",Dart;HTML/CSS;JavaScript,Yes,Medium,Senior
Colombia,17663.0,Remote,2,"Employed, full-time;Independent contractor, freelancer, or self-employed",Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Junior
Brazil,1678.0,Remote,5,"Employed, full-time",HTML/CSS;JavaScript;Python;TypeScript,"No, and I don't plan to",Low,Semi Senior
Brazil,38267.0,Remote,6,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;C++;Delphi;Go;Python;SQL,"No, and I don't plan to",Medium,Semi Senior
Brazil,9324.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",Bash/Shell (all shells);C#;F#;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Yes,Low,Semi Senior
Brazil,3357.0,Remote,Less than 1 year,"Student, part-time;Employed, part-time",C++;HTML/CSS;JavaScript;Python;TypeScript,Yes,Low,Unknown
Brazil,41960.0,Remote,24,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript,"No, and I don't plan to",Medium,Senior
Brazil,36000.0,Remote,3,"Employed, full-time",HTML/CSS;JavaScript;Ruby;SQL,"No, and I don't plan to",Medium,Semi Senior
Brazil,33568.0,Remote,20,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Python;SQL,"No, and I don't plan to",Medium,Senior
Brazil,124800.0,Remote,13,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;HTML/CSS;SQL;Visual Basic (.Net),Yes,High,Senior
Brazil,3730.0,Remote,15,"Employed, full-time;Student, part-time",C;C#;Dart;HTML/CSS;Java;JavaScript;PHP;Ruby;Rust;TypeScript,Yes,Low,Senior
Colombia,50000.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,Yes,Medium,Semi Senior
Brazil,16168.0,Remote,11,"Employed, full-time",HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"No, but I plan to soon",Low,Senior
Brazil,57203.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python,"No, but I plan to soon",Medium,Senior
Mexico,8625.0,Remote,14,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,Yes,Low,Senior
Argentina,83138.0,Remote,20,"Employed, full-time",Java;JavaScript;SQL;TypeScript,"No, and I don't plan to",High,Senior
Brazil,3730.0,Remote,7,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;PHP,Yes,Low,Senior
Brazil,20141.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time",HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,13987.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Java;SQL,"No, but I plan to soon",Low,Senior
Peru,52812.0,Remote,15,"Employed, full-time",C#;HTML/CSS;JavaScript,"No, and I don't plan to",Medium,Senior
Argentina,60000.0,Remote,10,"Employed, full-time;Independent contractor, freelancer, or self-employed",C#;JavaScript;SQL;TypeScript;Visual Basic (.Net),Yes,High,Senior
Brazil,33568.0,Remote,Less than 1 year,"Employed, part-time",Bash/Shell (all shells);C#;C++;Haskell;HTML/CSS;Java;JavaScript;PHP;Visual Basic (.Net),"No, but I plan to soon",Medium,Unknown
Colombia,30000.0,Remote,2,"Employed, full-time",Bash/Shell (all shells);Java;JavaScript;Python;TypeScript,Yes,Medium,Junior
Brazil,67135.0,Remote,18,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go,Yes,High,Senior
Brazil,26108.0,Remote,7,"Employed, full-time",Bash/Shell (all shells);C#;SQL,"No, but I plan to soon",Medium,Senior
Brazil,18649.0,"Hybrid (some remote, some in-person)",16,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Python;SQL,Yes,Low,Senior
Brazil,2797.0,Remote,20,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;SQL,"No, but I plan to soon",Low,Senior
Brazil,26854.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time",C#;HTML/CSS;JavaScript;Python;Rust;TypeScript,"No, but I plan to soon",Medium,Semi Senior
Mexico,30189.0,In-person,2,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Yes,Medium,Junior
Brazil,4924.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",HTML/CSS;Java;JavaScript;Python;SQL,Yes,Low,Semi Senior
Argentina,120000.0,Remote,10,"Independent contractor, freelancer, or self-employed",Dart;Kotlin,"No, and I don't plan to",High,Senior
Mexico,129381.0,Remote,26,"Employed, full-time",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,Yes,High,Senior
Brazil,52216.0,Remote,12,"Employed, full-time",C#;JavaScript;TypeScript,Yes,Medium,Senior
Mexico,72777.0,Remote,4,"Employed, full-time",Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Scala;SQL,Yes,High,Semi Senior
Argentina,55000.0,Remote,5,"Employed, full-time",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,37297.0,Remote,6,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Scala;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,37297.0,"Hybrid (some remote, some in-person)",22,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Yes,Medium,Senior
Brazil,99398.0,Remote,17,"Employed, full-time",Elixir;Ruby,Yes,High,Senior
Brazil,16784.0,Remote,14,"Employed, full-time",Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Yes,Low,Senior
Brazil,130541.0,"Hybrid (some remote, some in-person)",15,"Independent contractor, freelancer, or self-employed",Python;R;VBA,"No, but I plan to soon",High,Senior
Uruguay,50000.0,Remote,13,"Employed, full-time",Assembly;Go;HTML/CSS;JavaScript;Python;TypeScript,Yes,Medium,Senior
Mexico,16173.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time;Student, part-time",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,6714.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Semi Senior
Uruguay,115000.0,Remote,14,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go;Groovy;Java;Kotlin;Python;SQL;TypeScript,Yes,High,Senior
Chile,25996.0,Remote,17,"Employed, full-time",Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Perl;Python;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Mexico,30000.0,In-person,5,"Employed, full-time",C#;SQL,Yes,Medium,Semi Senior
Chile,45492.0,Remote,8,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,12122.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL,Yes,Low,Semi Senior
Brazil,14919.0,"Hybrid (some remote, some in-person)",30,"Employed, full-time;Employed, part-time",Ada;Apex;Assembly;Bash/Shell (all shells);C;C++;Cobol;Fortran,Yes,Low,Senior
Peru,21125.0,Remote,7,"Employed, full-time",C;C++;Elixir;HTML/CSS;JavaScript;Lua;TypeScript,Yes,Medium,Senior
Mexico,32345.0,Remote,13,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Kotlin;PHP;SQL;Swift,Yes,Medium,Senior
Brazil,132000.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",Elixir;Erlang,"No, and I don't plan to",High,Senior
Brazil,16187.0,Remote,3,"Employed, full-time",HTML/CSS;JavaScript;TypeScript,Yes,Low,Semi Senior
Brazil,16784.0,Remote,7,"Independent contractor, freelancer, or self-employed",C#;R,"No, but I plan to soon",Low,Senior
Brazil,14919.0,Remote,5,"Employed, full-time;Independent contractor, freelancer, or self-employed",C++;HTML/CSS;JavaScript;TypeScript,Yes,Low,Semi Senior
Chile,91295.0,Remote,15,"Employed, full-time",Go;HTML/CSS;JavaScript;TypeScript,"No, but I plan to soon",High,Senior
Argentina,28821.0,"Hybrid (some remote, some in-person)",35,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;PHP;SQL,"No, and I don't plan to",Medium,Senior
Mexico,19407.0,Remote,3,"Employed, full-time",HTML/CSS;JavaScript;PHP;TypeScript,Yes,Low,Semi Senior
Argentina,30000.0,Remote,16,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;PHP;Python;SQL,"No, and I don't plan to",Medium,Senior
Brazil,38789.0,"Hybrid (some remote, some in-person)",20,"Employed, full-time",HTML/CSS;JavaScript;PowerShell;TypeScript,"No, and I don't plan to",Medium,Senior
Brazil,31703.0,"Hybrid (some remote, some in-person)",25,"Employed, full-time",Java;SQL,"No, and I don't plan to",Medium,Senior
Brazil,19395.0,Remote,10,"Employed, full-time",C#;C++;SQL;TypeScript,"No, but I plan to soon",Low,Senior
Brazil,55946.0,Remote,16,"Employed, full-time",Java;Python,Yes,Medium,Senior
